iter	Passed	Remaining
0	139	139307
1	140	70278
2	142	47211
3	143	35704
4	144	28815
5	146	24211
6	147	20924
7	148	18439
8	149	16512
9	151	14974
10	152	13718
11	153	12667
12	155	11778
13	156	11033
14	158	10376
15	159	9796
16	160	9288
17	162	8840
18	163	8431
19	164	8065
20	165	7736
21	167	7430
22	168	7156
23	169	6907
24	171	6672
25	172	6455
26	173	6259
27	175	6076
28	176	5903
29	177	5742
30	178	5593
31	180	5453
32	181	5321
33	182	5193
34	184	5095
35	186	4996
36	188	4895
37	189	4797
38	190	4703
39	192	4613
40	193	4531
41	195	4449
42	196	4372
43	198	4316
44	200	4251
45	202	4200
46	204	4137
47	206	4086
48	207	4027
49	208	3969
50	210	3911
51	211	3856
52	212	3802
53	214	3752
54	215	3702
55	216	3655
56	218	3609
57	219	3564
58	220	3519
59	221	3477
60	223	3437
61	224	3397
62	225	3359
63	227	3323
64	228	3290
65	230	3256
66	231	3222
67	232	3187
68	233	3156
69	235	3124
70	236	3095
71	237	3065
72	239	3037
73	240	3009
74	241	2983
75	243	2955
76	244	2928
77	245	2904
78	246	2878
79	248	2852
80	249	2827
81	250	2802
82	251	2779
83	252	2758
84	254	2737
85	255	2719
86	257	2698
87	259	2686
88	261	2674
89	262	2659
90	264	2639
91	265	2621
92	267	2604
93	268	2588
94	270	2573
95	271	2558
96	272	2541
97	274	2525
98	275	2508
99	276	2490
100	278	2475
101	279	2458
102	280	2441
103	281	2427
104	283	2412
105	284	2398
106	285	2384
107	286	2369
108	288	2355
109	289	2342
110	290	2328
111	292	2315
112	293	2301
113	294	2288
114	295	2274
115	296	2261
116	298	2250
117	299	2239
118	300	2227
119	302	2218
120	304	2208
121	305	2197
122	306	2186
123	307	2174
124	308	2162
125	310	2151
126	311	2140
127	312	2129
128	314	2120
129	315	2109
130	316	2098
131	317	2090
132	319	2080
133	320	2072
134	321	2061
135	323	2052
136	324	2043
137	325	2034
138	327	2027
139	328	2017
140	329	2007
141	330	1994
142	331	1985
143	332	1977
144	333	1968
145	334	1959
146	335	1949
147	337	1940
148	338	1932
149	339	1924
150	340	1915
151	341	1907
152	343	1900
153	344	1890
154	345	1882
155	345	1871
156	347	1863
157	348	1855
158	349	1847
159	350	1842
160	352	1834
161	353	1828
162	354	1820
163	355	1812
164	356	1806
165	358	1798
166	359	1790
167	360	1786
168	361	1777
169	362	1771
170	363	1764
171	365	1757
172	366	1750
173	367	1742
174	368	1735
175	369	1728
176	370	1721
177	370	1712
178	371	1702
179	372	1695
180	373	1689
181	373	1680
182	374	1670
183	375	1664
184	376	1660
185	378	1655
186	378	1647
187	379	1640
188	380	1633
189	382	1631
190	384	1627
191	385	1621
192	386	1616
193	388	1613
194	393	1625
195	396	1624
196	397	1619
197	398	1614
198	399	1608
199	400	1602
200	401	1594
201	401	1587
202	402	1581
203	403	1573
204	403	1565
205	405	1562
206	406	1555
207	406	1547
208	407	1543
209	409	1540
210	410	1533
211	411	1527
212	411	1521
213	412	1516
214	413	1509
215	413	1502
216	414	1495
217	415	1489
218	416	1485
219	417	1479
220	418	1473
221	418	1467
222	419	1461
223	420	1455
224	420	1449
225	421	1442
226	422	1438
227	423	1434
228	424	1428
229	424	1422
230	425	1415
231	425	1409
232	426	1405
233	428	1401
234	429	1397
235	430	1394
236	431	1389
237	432	1383
238	432	1377
239	434	1375
240	435	1371
241	436	1368
242	437	1362
243	438	1357
244	438	1351
245	439	1347
246	440	1343
247	441	1340
248	442	1334
249	443	1331
250	444	1326
251	444	1320
252	445	1315
253	446	1311
254	447	1308
255	448	1303
256	449	1300
257	451	1297
258	452	1295
259	454	1292
260	455	1289
261	456	1286
262	457	1283
263	459	1281
264	461	1279
265	462	1275
266	463	1273
267	464	1269
268	466	1266
269	467	1263
270	468	1260
271	469	1257
272	470	1254
273	472	1250
274	473	1247
275	474	1244
276	475	1241
277	476	1237
278	477	1234
279	479	1231
280	480	1229
281	481	1225
282	482	1221
283	483	1218
284	484	1214
285	485	1212
286	486	1209
287	487	1205
288	488	1202
289	490	1199
290	491	1197
291	493	1196
292	495	1196
293	497	1193
294	497	1189
295	499	1187
296	499	1183
297	501	1180
298	502	1177
299	503	1174
300	504	1171
301	505	1168
302	506	1165
303	507	1161
304	508	1159
305	510	1157
306	512	1156
307	513	1154
308	515	1152
309	516	1150
310	518	1147
311	519	1145
312	520	1142
313	522	1140
314	523	1138
315	524	1136
316	526	1133
317	526	1130
318	527	1126
319	528	1124
320	530	1121
321	531	1119
322	532	1116
323	534	1114
324	535	1112
325	536	1109
326	539	1109
327	540	1107
328	541	1104
329	542	1101
330	543	1099
331	545	1096
332	546	1094
333	547	1091
334	548	1088
335	550	1087
336	552	1086
337	553	1084
338	554	1081
339	555	1078
340	556	1076
341	557	1073
342	558	1070
343	559	1067
344	561	1065
345	562	1062
346	563	1060
347	564	1057
348	566	1055
349	567	1053
350	568	1050
351	569	1047
352	570	1044
353	571	1042
354	572	1039
355	573	1037
356	574	1034
357	575	1031
358	576	1028
359	577	1026
360	578	1024
361	579	1022
362	581	1019
363	582	1017
364	583	1015
365	584	1012
366	585	1009
367	586	1007
368	587	1004
369	588	1002
370	589	999
371	590	997
372	591	994
373	593	992
374	594	990
375	595	988
376	596	986
377	597	983
378	598	981
379	599	978
380	601	976
381	602	973
382	602	971
383	603	968
384	604	966
385	605	963
386	607	961
387	608	959
388	609	956
389	610	954
390	611	951
391	612	949
392	613	947
393	615	946
394	616	944
395	617	941
396	618	939
397	619	936
398	620	934
399	621	932
400	622	930
401	623	928
402	625	926
403	626	923
404	627	921
405	628	919
406	629	917
407	630	915
408	632	913
409	633	910
410	634	908
411	635	906
412	636	904
413	637	902
414	639	900
415	639	898
416	641	896
417	642	894
418	643	891
419	644	889
420	645	887
421	646	885
422	647	883
423	648	881
424	649	878
425	650	876
426	651	874
427	653	872
428	654	870
429	655	868
430	656	866
431	657	864
432	658	862
433	659	859
434	660	857
435	661	855
436	662	853
437	663	851
438	664	849
439	665	847
440	667	845
441	668	843
442	669	841
443	670	839
444	672	838
445	673	836
446	674	833
447	675	831
448	676	829
449	677	827
450	678	825
451	679	823
452	680	821
453	681	819
454	682	817
455	683	815
456	684	813
457	685	811
458	686	809
459	688	807
460	689	805
461	690	803
462	691	801
463	692	799
464	693	797
465	694	795
466	695	793
467	696	791
468	697	789
469	698	788
470	699	786
471	701	784
472	702	782
473	703	780
474	704	778
475	705	777
476	706	775
477	708	773
478	709	771
479	710	769
480	712	768
481	713	766
482	714	764
483	716	763
484	717	761
485	717	759
486	719	757
487	720	755
488	721	754
489	722	752
490	723	750
491	725	749
492	727	748
493	728	746
494	729	744
495	731	743
496	732	741
497	733	739
498	735	738
499	736	736
500	737	734
501	739	733
502	740	731
503	741	730
504	743	728
505	744	726
506	745	725
507	746	723
508	747	721
509	749	719
510	750	717
511	751	716
512	752	714
513	754	713
514	755	711
515	756	709
516	758	708
517	759	706
518	761	705
519	762	703
520	763	702
521	765	700
522	766	699
523	768	697
524	769	696
525	770	694
526	771	692
527	773	691
528	774	689
529	775	688
530	777	686
531	778	684
532	779	683
533	781	681
534	782	679
535	783	678
536	784	676
537	786	675
538	787	673
539	788	671
540	790	670
541	791	668
542	792	667
543	793	665
544	794	663
545	796	661
546	797	660
547	798	658
548	799	656
549	800	655
550	802	653
551	803	652
552	804	650
553	805	648
554	807	647
555	808	645
556	809	643
557	810	642
558	811	640
559	813	638
560	814	637
561	815	635
562	816	634
563	818	632
564	819	630
565	820	629
566	821	627
567	822	625
568	824	624
569	825	622
570	826	620
571	827	619
572	829	617
573	830	616
574	831	614
575	833	613
576	833	611
577	835	609
578	836	608
579	837	606
580	838	604
581	839	602
582	840	601
583	841	599
584	842	597
585	844	596
586	845	594
587	845	592
588	847	591
589	848	589
590	849	588
591	850	586
592	851	584
593	852	583
594	854	581
595	855	579
596	856	578
597	857	576
598	858	574
599	859	573
600	861	571
601	862	569
602	863	568
603	864	566
604	865	565
605	866	563
606	867	561
607	868	560
608	870	558
609	871	557
610	872	555
611	872	553
612	873	551
613	874	550
614	875	548
615	876	546
616	877	544
617	878	543
618	880	541
619	881	539
620	882	538
621	883	536
622	884	534
623	885	533
624	886	531
625	887	530
626	888	528
627	889	526
628	890	525
629	892	523
630	893	522
631	894	520
632	895	519
633	896	517
634	897	516
635	898	514
636	899	512
637	901	511
638	902	509
639	903	508
640	904	506
641	905	505
642	907	503
643	908	502
644	909	500
645	910	499
646	911	497
647	913	495
648	914	494
649	915	492
650	916	491
651	918	489
652	919	488
653	920	487
654	922	485
655	923	484
656	924	482
657	925	481
658	926	479
659	928	478
660	929	476
661	930	475
662	931	473
663	933	472
664	934	470
665	935	469
666	936	467
667	938	466
668	939	464
669	940	463
670	942	461
671	943	460
672	944	459
673	945	457
674	947	456
675	948	454
676	949	453
677	951	451
678	952	450
679	954	449
680	954	447
681	956	445
682	957	444
683	959	443
684	960	441
685	961	440
686	962	438
687	964	437
688	965	435
689	980	440
690	982	439
691	983	437
692	985	436
693	986	435
694	987	433
695	988	431
696	990	430
697	991	428
698	992	427
699	993	425
700	994	424
701	995	422
702	996	421
703	998	419
704	999	418
705	1000	416
706	1001	415
707	1002	413
708	1003	412
709	1005	410
710	1006	409
711	1007	407
712	1008	406
713	1009	404
714	1011	403
715	1012	401
716	1013	399
717	1014	398
718	1015	396
719	1016	395
720	1018	394
721	1019	392
722	1020	391
723	1021	389
724	1022	388
725	1024	386
726	1025	385
727	1026	383
728	1027	382
729	1029	380
730	1030	379
731	1031	377
732	1032	376
733	1034	374
734	1035	373
735	1036	371
736	1037	370
737	1038	368
738	1039	367
739	1041	365
740	1042	364
741	1043	362
742	1044	361
743	1046	359
744	1047	358
745	1048	356
746	1049	355
747	1050	353
748	1051	352
749	1053	351
750	1054	349
751	1055	348
752	1056	346
753	1058	345
754	1059	343
755	1060	342
756	1061	340
757	1062	339
758	1063	337
759	1065	336
760	1066	334
761	1067	333
762	1068	332
763	1070	330
764	1071	329
765	1072	327
766	1073	326
767	1074	324
768	1076	323
769	1077	321
770	1078	320
771	1080	319
772	1081	317
773	1082	316
774	1083	314
775	1084	313
776	1085	311
777	1087	310
778	1088	308
779	1090	307
780	1092	306
781	1093	304
782	1094	303
783	1095	301
784	1096	300
785	1097	298
786	1098	297
787	1099	295
788	1100	294
789	1101	292
790	1102	291
791	1103	289
792	1104	288
793	1105	286
794	1107	285
795	1108	284
796	1109	282
797	1110	281
798	1111	279
799	1112	278
800	1113	276
801	1114	275
802	1115	273
803	1116	272
804	1117	270
805	1118	269
806	1119	267
807	1121	266
808	1122	264
809	1123	263
810	1124	262
811	1125	260
812	1126	259
813	1127	257
814	1128	256
815	1129	254
816	1130	253
817	1131	251
818	1132	250
819	1133	248
820	1135	247
821	1136	246
822	1137	244
823	1138	243
824	1139	241
825	1140	240
826	1141	238
827	1142	237
828	1143	235
829	1144	234
830	1144	232
831	1146	231
832	1147	230
833	1148	228
834	1150	227
835	1151	225
836	1152	224
837	1153	222
838	1154	221
839	1155	220
840	1156	218
841	1157	217
842	1158	215
843	1159	214
844	1160	212
845	1161	211
846	1162	210
847	1163	208
848	1164	207
849	1166	205
850	1167	204
851	1168	202
852	1169	201
853	1170	200
854	1171	198
855	1172	197
856	1173	195
857	1174	194
858	1175	192
859	1176	191
860	1177	190
861	1178	188
862	1180	187
863	1181	185
864	1182	184
865	1183	183
866	1184	181
867	1185	180
868	1186	178
869	1187	177
870	1188	175
871	1189	174
872	1190	173
873	1191	171
874	1192	170
875	1193	168
876	1194	167
877	1195	166
878	1196	164
879	1197	163
880	1198	161
881	1199	160
882	1200	159
883	1201	157
884	1202	156
885	1203	154
886	1204	153
887	1206	152
888	1207	150
889	1208	149
890	1209	147
891	1210	146
892	1211	145
893	1212	143
894	1213	142
895	1214	140
896	1215	139
897	1216	138
898	1217	136
899	1218	135
900	1219	133
901	1220	132
902	1221	131
903	1222	129
904	1223	128
905	1224	127
906	1225	125
